groove,likeability,familiarity,groove_category
6.161290323,5.685483871,5.661290323,2
4.935483871,4.419354839,1.725806452,2
5.774193548,4.491935484,3,2
5.991935484,5.290322581,4.741935484,2
5.258064516,4.129032258,2.790322581,2
5.080645161,4.25,2.056451613,2
5.10483871,4.717741935,2.201612903,2
4.580645161,5.927419355,5.911290323,2
5.838709677,5.60483871,5.072580645,2
5.475806452,5.467741935,4.741935484,2
2.524193548,4.112903226,3.830645161,1
2.524193548,3.782258065,1.435483871,1
2.959677419,3.75,1.60483871,1
1.685483871,2.790322581,1.435483871,1
2.451612903,4.564516129,2.016129032,1
1.959677419,4.064516129,1.758064516,1
2.137096774,4.120967742,1.491935484,1
1.975806452,3.588709677,1.5,1
1.612903226,3.379032258,1.403225806,1
1.580645161,3.241935484,1.370967742,1
